FILMNEV,MUFAJ,RENDEZO,HOSSZ,PONTOK,MEGJELENES
Forrest Gump,Dráma|Románc,Robert Zemeckis,2h 22m,88,1994
Life of Brian,Komédia,Terry Jones,1h 34m,80,1979
Casablanca,Dráma|Románc|Háború,Michael Curtiz,1h 42m,85,1942
The Matrix,Akció|Sci-Fi,Lana Wachowski|Lilly Wachowski,2h 16m,87,1999
Inception,Akció|Kaland|Sci-Fi|Thriller,Christopher Nolan,2h 28m,88,2010
Back to the Future,Kaland|Komédia|Sci-Fi,Robert Zemeckis,1h 56m,85,1985
Fight Club,Dráma,David Fincher,2h 19m,88,1999
Pulp Fiction,Bűn|Dráma,Quentin Tarantino,2h 34m,89,1994
Monsters Inc.,Animáció|Kaland|Komédia|Családi|Fantázia,Pete Docter|David Silverman|Lee Unkrich,1h 32m,81,2001
